"merc.gpnum","merc.resultid","merc.raceid","merc.points","merc.percpoints","merc.percTOTALpoints","merc.year","merc.round","merc.seasonandround","newpointsys"
98,15025,927,33,76.7441860465116,32.6732673267327,2015,2,2015.05263157895,FALSE
99,15034,928,43,100,42.5742574257426,2015,3,2015.10526315789,FALSE
100,15044,929,40,93.0232558139535,39.6039603960396,2015,4,2015.15789473684,FALSE
101,15054,930,43,100,42.5742574257426,2015,5,2015.21052631579,FALSE
102,15064,931,40,93.0232558139535,39.6039603960396,2015,6,2015.26315789474,FALSE
103,15074,932,43,100,42.5742574257426,2015,7,2015.31578947368,FALSE
104,15084,933,43,100,42.5742574257426,2015,8,2015.36842105263,FALSE
105,15094,934,43,100,42.5742574257426,2015,9,2015.42105263158,FALSE
106,15108,936,12,27.906976744186,11.8811881188119,2015,10,2015.47368421053,FALSE
107,15114,937,43,100,42.5742574257426,2015,11,2015.52631578947,FALSE
108,15125,938,25,58.1395348837209,24.7524752475248,2015,12,2015.57894736842,FALSE
109,15137,939,12,27.906976744186,11.8811881188119,2015,13,2015.63157894737,FALSE
110,15145,940,43,100,42.5742574257426,2015,14,2015.68421052632,FALSE
111,15155,941,25,58.1395348837209,24.7524752475248,2015,15,2015.73684210526,FALSE
112,15166,942,43,100,42.5742574257426,2015,16,2015.78947368421,FALSE
113,15176,943,43,100,42.5742574257426,2015,17,2015.84210526316,FALSE
114,15186,944,43,100,42.5742574257426,2015,18,2015.89473684211,FALSE
115,15197,945,43,100,42.5742574257426,2015,19,2015.94736842105,FALSE
116,15208,948,43,100,42.5742574257426,2016,1,2016,FALSE
117,15219,949,40,93.0232558139535,39.6039603960396,2016,2,2016.04761904762,FALSE
118,15230,950,31,72.0930232558139,30.6930693069307,2016,3,2016.09523809524,FALSE
119,15241,951,43,100,42.5742574257426,2016,4,2016.14285714286,FALSE
120,15262,952,0,0,0,2016,5,2016.19047619048,FALSE
121,15263,953,31,72.0930232558139,30.6930693069307,2016,6,2016.2380952381,FALSE
122,15274,954,35,81.3953488372093,34.6534653465347,2016,7,2016.28571428571,FALSE
123,15285,955,35,81.3953488372093,34.6534653465347,2016,8,2016.33333333333,FALSE
124,15296,956,37,86.046511627907,36.6336633663366,2016,9,2016.38095238095,FALSE
125,15307,957,40,93.0232558139535,39.6039603960396,2016,10,2016.42857142857,FALSE
126,15318,958,43,100,42.5742574257426,2016,11,2016.47619047619,FALSE
127,15329,959,37,86.046511627907,36.6336633663366,2016,12,2016.52380952381,FALSE
128,15340,960,40,93.0232558139535,39.6039603960396,2016,13,2016.57142857143,FALSE
129,15351,961,43,100,42.5742574257426,2016,14,2016.61904761905,FALSE
130,15362,962,40,93.0232558139535,39.6039603960396,2016,15,2016.66666666667,FALSE
131,15374,963,15,34.8837209302326,14.8514851485149,2016,16,2016.71428571429,FALSE
132,15384,964,40,93.0232558139535,39.6039603960396,2016,17,2016.7619047619,FALSE
133,15395,965,43,100,42.5742574257426,2016,18,2016.80952380952,FALSE
134,15406,966,43,100,42.5742574257426,2016,19,2016.85714285714,FALSE
135,15417,967,43,100,42.5742574257426,2016,20,2016.90476190476,FALSE
136,15428,968,43,100,42.5742574257426,2016,21,2016.95238095238,FALSE
137,15440,969,33,76.7441860465116,32.6732673267327,2017,1,2017,FALSE
138,15449,970,33,76.7441860465116,32.6732673267327,2017,2,2017.05,FALSE
139,15460,971,33,76.7441860465116,32.6732673267327,2017,3,2017.1,FALSE
140,15469,972,37,86.046511627907,36.6336633663366,2017,4,2017.15,FALSE
141,15479,973,25,58.1395348837209,24.7524752475248,2017,5,2017.2,FALSE
