raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
893,2013,13,15,Singapore Grand Prix,22/09/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
894,2013,14,35,Korean Grand Prix,06/10/2013,06:00:00,http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
895,2013,15,22,Japanese Grand Prix,13/10/2013,06:00:00,http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
896,2013,16,68,Indian Grand Prix,27/10/2013,09:30:00,http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
897,2013,17,24,Abu Dhabi Grand Prix,03/11/2013,13:00:00,http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
898,2013,18,69,United States Grand Prix,17/11/2013,19:00:00,http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
899,2013,19,18,Brazilian Grand Prix,24/11/2013,16:00:00,http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
900,2014,1,1,Australian Grand Prix,16/03/2014,06:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
901,2014,2,2,Malaysian Grand Prix,30/03/2014,08:00:00,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
902,2014,3,3,Bahrain Grand Prix,06/04/2014,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
903,2014,4,17,Chinese Grand Prix,20/04/2014,07:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
904,2014,5,4,Spanish Grand Prix,11/05/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
905,2014,6,6,Monaco Grand Prix,25/05/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
906,2014,7,7,Canadian Grand Prix,08/06/2014,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
907,2014,8,70,Austrian Grand Prix,22/06/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
908,2014,9,9,British Grand Prix,06/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
909,2014,10,10,German Grand Prix,20/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
910,2014,11,11,Hungarian Grand Prix,27/07/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
911,2014,12,13,Belgian Grand Prix,24/08/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
912,2014,13,14,Italian Grand Prix,07/09/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
913,2014,14,15,Singapore Grand Prix,21/09/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
914,2014,15,22,Japanese Grand Prix,05/10/2014,06:00:00,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
915,2014,16,71,Russian Grand Prix,12/10/2014,11:00:00,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
916,2014,17,69,United States Grand Prix,02/11/2014,20:00:00,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
917,2014,18,18,Brazilian Grand Prix,09/11/2014,16:00:00,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
918,2014,19,24,Abu Dhabi Grand Prix,23/11/2014,13:00:00,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
931,2015,6,6,Monaco Grand Prix,24/05/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
